level_2_key,title,left_bar_title,nav_order,dir_path,one_liner,scope_in,scope_out,newcomer_question_it_answers,source_file,source_section,primary_sources,level_3_pages,status
non_partisan_site,What Stays Up at the Non-Partisan Site,What Stays on .io,11,site/docs/s/non_partisan_site/,"Some things deliberately do not move down to this door, and this page points at the .io instead of quietly duplicating them.",The neutral lobby and its single high-level plan; no religion up there and none on this door either; the read-only cross-party trust-score roll-up.,Restating .io content here.,What is the difference between this site and the .io?,marketing/messaging/socialism.md,11.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; the_neutral_lobby.mdx; no_religion_on_this_door.mdx; the_read_only_rollup.mdx,created
four_doors,How This Door Relates to the Other Three,"One App, Four Doors",12,site/docs/s/four_doors/,"Four party doors, one app: R Republicans, D Democrats, L Libertarians, S Democratic Socialists — four independent editions with no pairing between them.",WeCitizensSocialism.com as edition S recognized by hostname; the other three doors and who each is for; why this door answers to marketing/messaging/socialism.md alone; the .io sending a visitor to the door they care about.,"Any attack on the voters behind another door — their captured incumbents are fair game, they are not. Any claim that one door mirrors or constrains another.",Is this a Democratic Socialist-only movement?,marketing/messaging/socialism.md,12.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; one_app_four_doors.mdx; sending_visitors_here.mdx,created
board_of_directors,Our Board of Directors,Board of Directors,13,site/docs/s/board_of_directors/,"A real governance body that sits at the .com level, described accurately and never overstated.",Why partisan governance belongs with the partisan community; the split between the .io's single high-level plan and the many partisan plans under this board.,A board on the non-partisan side — there is none.,Who governs this?,marketing/messaging/socialism.md,13.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; the_board_sits_at_the_com_level.mdx,created
fix_bills,Partisan Laws and Bills,Laws and Bills,14,site/docs/s/fix_bills/,"Partisan law work happens on the .com doors, and this is where democratic socialists add and prioritize the laws they care about.",Adding the laws this community cares about; the specific standing bills it cares about most; measuring a candidate against a concrete bill rather than a general statement.,Law work on the .io — the non-partisan site does not host it.,Do you have actual legislation?,marketing/messaging/socialism.md,14.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; add_the_laws_you_care_about.mdx; bills_that_matter_most.mdx,created
trust_scores,Trust Scores,Trust Scores,15,site/docs/s/trust_scores/,"Trust scores are how a citizen judges whether a candidate really works for citizens — built and voted here, at the party level.",Democratic socialists building and voting the scores for their own candidates; what the scoring reflects; the read-only roll-up that appears on the non-partisan site.,Voting on the .io — the roll-up there is read-only and nobody votes on it.,Where do I cast a vote that counts on a candidate?,marketing/messaging/socialism.md,15.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; built_and_voted_here.mdx; the_read_only_rollup.mdx,created
words_we_use,Words We Use and Words We Avoid,Our Language,16,site/docs/s/words_we_use/,"Language is the whole job of this door: two audiences never share a page, and we never claim a status we do not hold.","The phrases that belong here — democratic socialists, working people, special interests, money in politics, Citizens United, new colonialism, the rigged economy; the phrases that never appear — socialists as a bare label, TPUSA replacement, the political right, Christian values, the non-partisan voice.","Copy written for the .io or for the R, D or L audiences.",How should I talk about this?,marketing/messaging/socialism.md,16.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; words_we_use.mdx; words_we_avoid.mdx,created
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
