level_2_key,title,left_bar_title,nav_order,dir_path,one_liner,scope_in,scope_out,newcomer_question_it_answers,source_file,source_section,primary_sources,level_3_pages,status
foreign_intelligence,Foreign Intelligence: No Puppet Master Over US Citizens,Foreign Intelligence,11,site/docs/l/foreign_intelligence/,A foreign service steering US politics is the purest form of the thing this door exists to stop.,"Narrative control over who gets elected; documenting the mechanism — funding, placed media, coordinated accounts, captured staff; foreign leverage on an officeholder as disqualifying.","Domestic services, which are the previous area.",Is somebody outside the country picking my representatives?,marketing/messaging/libertarians.md,11.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; a_vote_already_decided.mdx; foreign_leverage_is_disqualifying.mdx,created
voter_fraud,Removing Voter Fraud for Good,Voter Fraud,12,site/docs/l/voter_fraud/,"A citizen has to be able to believe the count, and the goal is structurally impossible fraud rather than fraud merely investigated.","Every step from registration to certification checkable by an ordinary citizen; open, auditable technology so nobody has to trust a vendor; measuring candidates on whether they will vote for it.",Any claim of a specific fraud we cannot source.,Can I trust the count?,marketing/messaging/libertarians.md,12.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; forever_eliminated.mdx; auditable_technology.mdx,created
no_forever_wars,"No Needless or Forever Wars, and No Draft",No Forever Wars,13,site/docs/l/no_forever_wars/,"Wars that serve globalist elites rather than citizens are exactly what this door opposes, and citizens are not raw material for someone else's foreign policy.",Forever wars as a symptom of captured incumbents; no draft; measuring candidates on their actual war votes rather than their speeches.,"A full foreign-policy doctrine — this is the plank, not the doctrine.",Where do you stand on war?,marketing/messaging/libertarians.md,13.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx,created
no_social_credit,No China-Style Social Credit in America,No Social Credit,14,site/docs/l/no_social_credit/,A score that decides what a citizen is allowed to do never gets built here — including the private-sector versions of it.,"Debanking, de-platforming as punishment, and scoring citizens by political behavior; measuring candidates on whether they will outlaw it before it arrives.","The movement's own trust scores, which are about candidates, never about citizens.",Could a social credit system happen here?,marketing/messaging/libertarians.md,14.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx,created
trust_scores,Trust Scores,Trust Scores,15,site/docs/l/trust_scores/,"Trust scores are how a citizen judges whether a candidate really works for citizens — built and voted here, at the party level.",Libertarians building and voting the scores for their own candidates; what the scoring reflects; the read-only roll-up that appears on the non-partisan site.,Voting on the .io — the roll-up there is read-only and nobody votes on it.,Where do I cast a vote that counts on a candidate?,marketing/messaging/libertarians.md,15.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; built_and_voted_here.mdx; the_read_only_rollup.mdx,created
board_of_directors,Our Board of Directors,Board of Directors,16,site/docs/l/board_of_directors/,"A real governance body that sits at the .com level, described accurately and never overstated.",Why partisan governance belongs with the partisan community; the split between the .io's single high-level plan and the many partisan plans under this board.,A board on the non-partisan side — there is none.,Who governs this?,marketing/messaging/libertarians.md,16.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; the_board_sits_at_the_com_level.mdx,created
yearly_conference,Yearly Conference on Liberty Strategy,Yearly Conference,17,site/docs/l/yearly_conference/,"The liberty movement's yearly strategy conference, where this community sets its direction together.","A .com-level event that each party door runs its own version of; the speaker list as the test — people who represent citizens, never people placed there by globalist elites.",Describing it as a movement-wide non-partisan event.,Do you hold events?,marketing/messaging/libertarians.md,17.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; speakers_who_represent_citizens.mdx,created
open_everything,"Open Source, Open Data, Open AI",Open Source & Data,18,site/docs/l/open_everything/,"Nobody has to trust us, because nobody can check a black box — every layer that decides something about a candidate or a vote is open to inspection.","Open source code for the voting, matching and scoring; open data so a citizen can re-run the numbers; open AI method so a citizen can see why it concluded what it concluded and disagree.","A citizen's own local files, which are private by design and said so plainly.",Why should I believe your numbers?,marketing/messaging/libertarians.md,18.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; open_source_code.mdx; open_data.mdx; open_ai.mdx,created
four_doors,How This Door Relates to the Other Three,"One App, Four Doors",19,site/docs/l/four_doors/,"Four party doors, one app: R Republicans, D Democrats, L Libertarians, S Democratic Socialists — four independent editions with no pairing between them.",WeCitizensL.com as edition L recognized by hostname; the other three doors and who each is for; why this door answers to marketing/messaging/libertarians.md alone; the .io sending a visitor to the door they care about.,"Any attack on the voters behind another door — their captured incumbents are fair game, they are not. Any claim that one door mirrors or constrains another.",Is this a Libertarian-only movement?,marketing/messaging/libertarians.md,19.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; one_app_four_doors.mdx; sending_visitors_here.mdx,created
words_we_use,Words We Use and Words We Avoid,Our Language,20,site/docs/l/words_we_use/,"Language is the whole job of this door: two audiences never share a page, and we never claim a status we do not hold.","The phrases that belong here — libertarians, the non-aggression principle, consent, self-ownership, verifiable meritocracy, narrative control, the rigged economy; the phrases that never appear — TPUSA replacement, the political right, Christian values, the non-partisan voice.","Copy written for the .io or for the R, D or S audiences.",How should I talk about this?,marketing/messaging/libertarians.md,20.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; words_we_use.mdx; words_we_avoid.mdx,created
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
