level_2_key,title,left_bar_title,nav_order,dir_path,one_liner,scope_in,scope_out,newcomer_question_it_answers,source_file,source_section,primary_sources,level_3_pages,status
voter_fraud,Removing Voter Fraud for Good,Voter Fraud,12,site/docs/r/voter_fraud/,"A citizen has to be able to believe the count, and the goal is structurally impossible fraud rather than fraud merely investigated.","Every step from registration to certification checkable by an ordinary citizen; open, auditable technology so nobody has to trust a vendor; measuring candidates on whether they will vote for it.",Any claim of a specific fraud we cannot source.,Can I trust the count?,marketing/messaging/republicans.md,12.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; forever_eliminated.mdx; auditable_technology.mdx,planned
no_forever_wars,"No Needless or Forever Wars, and No Draft",No Forever Wars,13,site/docs/r/no_forever_wars/,"Wars that serve global elites rather than citizens are exactly what this door opposes, and citizens are not raw material for someone else's foreign policy.",Forever wars as a symptom of captured incumbents; no draft; measuring candidates on their actual war votes rather than their speeches.,"A full foreign-policy doctrine — this is the plank, not the doctrine.",Where do you stand on war?,marketing/messaging/republicans.md,13.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx,planned
no_social_credit,No China-Style Social Credit in America,No Social Credit,14,site/docs/r/no_social_credit/,A score that decides what a citizen is allowed to do never gets built here — including the private-sector versions of it.,"Debanking, de-platforming as punishment, and scoring citizens by political behavior; measuring candidates on whether they will outlaw it before it arrives.","The movement's own trust scores, which are about candidates, never about citizens.",Could a social credit system happen here?,marketing/messaging/republicans.md,14.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx,planned
trust_scores,Trust Scores,Trust Scores,15,site/docs/r/trust_scores/,"Trust scores are how a citizen judges whether a candidate really works for citizens — built and voted here, at the party level.",Republicans building and voting the scores for their own candidates; what the scoring reflects; the read-only roll-up that appears on the non-partisan site.,Voting on the .io — the roll-up there is read-only and nobody votes on it.,Where do I cast a vote that counts on a candidate?,marketing/messaging/republicans.md,15.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; built_and_voted_here.mdx; the_read_only_rollup.mdx,planned
board_of_directors,Our Board of Directors,Board of Directors,16,site/docs/r/board_of_directors/,"A real governance body that sits at the .com level, described accurately and never overstated.",Why partisan governance belongs with the partisan community; the split between the .io's single high-level plan and the many partisan plans under this board.,A board on the non-partisan side — there is none.,Who governs this?,marketing/messaging/republicans.md,16.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; the_board_sits_at_the_com_level.mdx,planned
yearly_conference,Yearly Conference on Political Right Strategy,Yearly Conference,17,site/docs/r/yearly_conference/,"The right's yearly strategy conference, standing in the slot AmFest holds today, where this community sets its direction together.","A .com-level event that each party door runs its own version of; the speaker list as the test — people who represent citizens, never people placed there by global elites or the donor class.",Describing it as a movement-wide non-partisan event.,Do you hold events?,marketing/messaging/republicans.md,17.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; replaces_amfest.mdx,planned
open_everything,"Open Source, Open Data, Open AI",Open Source & Data,18,site/docs/r/open_everything/,"Nobody has to trust us, because nobody can check a black box — every layer that decides something about a candidate or a vote is open to inspection.","Open source code for the voting, matching and scoring; open data so a citizen can re-run the numbers; open AI method so a citizen can see why it concluded what it concluded and disagree.","A citizen's own local files, which are private by design and said so plainly.",Why should I believe your numbers?,marketing/messaging/republicans.md,18.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; open_source_code.mdx; open_data.mdx; open_ai.mdx,planned
four_doors,How This Door Relates to the Other Three,"One App, Four Doors",19,site/docs/r/four_doors/,"Four party doors, one app: R Republicans, D Democrats, L Libertarians, S Democratic Socialists.",WeCitizensR.com as edition R recognized by hostname; R and D mirroring on the partisan axis and L and S on the economic axis; the .io sending a visitor to the door they care about.,"Any attack on the voters behind another door — their captured incumbents are fair game, they are not.",Is this a Republican-only movement?,marketing/messaging/republicans.md,19.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; one_app_four_doors.mdx; sending_visitors_here.mdx,planned
words_we_use,Words We Use and Words We Avoid,Our Language,20,site/docs/r/words_we_use/,"Language is the whole job of this door: two audiences never share a page, and we never claim a status we do not hold.","The phrases that belong here — replacement for TPUSA, political challengers, meritocracy, the rigged economy, Christian values; the phrases that never appear — the non-partisan voice, attacks on other doors' voters, any promised outcome or claimed endorsement.","Copy written for the .io or for the D, L or S audiences.",How should I talk about this?,marketing/messaging/republicans.md,20.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; words_we_use.mdx; words_we_avoid.mdx,planned
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
