page_key,title,level,edition,level_2_area,file_path,url_path,description,link_phrases
communities_join_or_start_one,Join or start one,3,main,communities,communities/join_or_start_one.mdx,/docs/communities/join_or_start_one/,"Joining an existing community, starting your own, and what it takes to steward one well.",join or start one
communities_what_is_a_community,What is a community,3,main,communities,communities/what_is_a_community.mdx,/docs/communities/what_is_a_community/,"The model, the access rules, and what a community is deliberately not.",what is a community; a community
congress_for_citizens_overview,Congress Working For Citizens,2,main,congress_for_citizens,congress_for_citizens/overview.mdx,/docs/congress_for_citizens/overview/,"The one test every other area serves: is Congress working for US citizens, or has control over it been hijacked.",congress working for citizens; hijacked control; captured congress
congress_for_citizens_expose_the_hijack,Exposing the hijack,3,main,congress_for_citizens,congress_for_citizens/expose_the_hijack.mdx,/docs/congress_for_citizens/expose_the_hijack/,"Proof nobody can read changes nothing. What publishing a finding requires, and the standard it has to survive.",exposing the hijack
congress_for_citizens_intelligence_service_capture,Intelligence service capture,3,main,congress_for_citizens,congress_for_citizens/intelligence_service_capture.mdx,/docs/congress_for_citizens/intelligence_service_capture/,When the party that controls the information a vote depends on is itself a party to the vote.,intelligence service capture
congress_for_citizens_money_in_politics,Money in politics,3,main,congress_for_citizens,congress_for_citizens/money_in_politics.mdx,/docs/congress_for_citizens/money_in_politics/,The most documented route by which control over Congress gets bought — and the test that separates a donation from a purchase.,money in politics; campaign contributions; citizens united; leadership pacs
congress_for_citizens_remove_the_hijack,Removing the hijack,3,main,congress_for_citizens,congress_for_citizens/remove_the_hijack.mdx,/docs/congress_for_citizens/remove_the_hijack/,Removal happens at the ballot box and nowhere else — and the work that has to be finished before the primary.,removing the hijack
congress_for_citizens_the_globalist_deep_state,A globalist deep state,3,main,congress_for_citizens,congress_for_citizens/the_globalist_deep_state.mdx,/docs/congress_for_citizens/the_globalist_deep_state/,"Permanent, unelected decision-making power that survives every election voters were told would change it.",globalist deep state; global elites
decisions_overview,Decisions,2,main,decisions,decisions/overview.mdx,/docs/decisions/overview/,"Pillar 1: you record where you stand, the platform runs the comparison, and communities can pool the result.",
decisions_community_consensus,Community consensus,3,main,decisions,decisions/community_consensus.mdx,/docs/decisions/community_consensus/,"How individual decisions pool into a community position, and why the delta is shown.",community consensus
decisions_record_a_position,Record a position,3,main,decisions,decisions/record_a_position.mdx,/docs/decisions/record_a_position/,"The anatomy of a decision, and why confidence is recorded alongside the position.",record a position; record where you stand
decisions_run_the_comparison,Run the comparison,3,main,decisions,decisions/run_the_comparison.mdx,/docs/decisions/run_the_comparison/,"Layered context assembly, the first-principles constraint, and what the output actually says.",run the comparison
deep_state_overview,Exposing the Deep State,2,main,deep_state,deep_state/overview.mdx,/docs/deep_state/overview/,"Documented in public, sourced at the door, never asserted without a record.",exposing the deep state; the deep state; epstein class
deep_state_the_documented_crimes,The documented crimes,3,main,deep_state,deep_state/the_documented_crimes.mdx,/docs/deep_state/the_documented_crimes/,"Each item is a file, not a claim: what is alleged, who alleges it, which proceeding it came from, and what is still missing.",documented crimes
deep_state_the_withheld_files,The withheld files,3,main,deep_state,deep_state/the_withheld_files.mdx,/docs/deep_state/the_withheld_files/,A gap that only ever runs in one direction is evidence about who controls the gap — three long-running examples with the same shape.,withheld files; the epstein files; jfk assassination records
deep_state_who_the_deep_state_is,Who the deep state is,3,main,deep_state,deep_state/who_the_deep_state_is.mdx,/docs/deep_state/who_the_deep_state_is/,"Three terms used loosely everywhere else, given definitions here that can fail — and the rule about who gets named.",who the deep state is
election_integrity_overview,Election Integrity,2,main,election_integrity,election_integrity/overview.mdx,/docs/election_integrity/overview/,"An election either produces a result every side can check for itself, or it does not count.",election integrity
election_integrity_audits_and_open_gaps,Audits and open gaps,3,main,election_integrity,election_integrity/audits_and_open_gaps.mdx,/docs/election_integrity/audits_and_open_gaps/,An audit that happens only when somebody complains is a political event. One that always happens is a control.,audits and open gaps; routine audits; open gaps
election_integrity_open_source_voting_tech,Open-source voting technology,3,main,election_integrity,election_integrity/open_source_voting_tech.mdx,/docs/election_integrity/open_source_voting_tech/,Move the guarantee out of the promise and into the technology — the code that counts votes should be readable by the side that loses.,open-source voting technology; open source voting
election_integrity_reproduce_the_result,Reproduce the result,3,main,election_integrity,election_integrity/reproduce_the_result.mdx,/docs/election_integrity/reproduce_the_result/,"The guarantee test, stated so it can fail: an outside team, using only the public record, reproduces the official result.",reproduce the result; reproduce the official result
evidence_overview,Evidence,2,main,evidence,evidence/overview.mdx,/docs/evidence/overview/,Pillar 4: deciding when a few links are missing on purpose.,
evidence_chain_of_evidence,Chain of evidence,3,main,evidence,evidence/chain_of_evidence.mdx,/docs/evidence/chain_of_evidence/,"Links, strength, sources, and the case that holds them together.",chain of evidence; evidence chain
evidence_naming_the_gaps,Naming the gaps,3,main,evidence,evidence/naming_the_gaps.mdx,/docs/evidence/naming_the_gaps/,"The four reasons a link is missing, and why collapsing them would give the game away.",naming the gaps; named gap; open gap
evidence_your_confidence_threshold,Your confidence threshold,3,main,evidence,evidence/your_confidence_threshold.mdx,/docs/evidence/your_confidence_threshold/,"Deciding in advance what would be enough, and why stating it beats discovering it.",your confidence threshold; confidence threshold
features_overview,Product Features,2,main,features,features/overview.mdx,/docs/features/overview/,Placeholder.,
fix_laws_overview,Fixing the Law,2,main,fix_laws,fix_laws/overview.mdx,/docs/fix_laws/overview/,Pillar 2 in practice: how a problem citizens named becomes real legislative language somebody could file tomorrow.,fixing the law
fix_laws_from_problem_to_bill,From problem to bill,3,main,fix_laws,fix_laws/from_problem_to_bill.mdx,/docs/fix_laws/from_problem_to_bill/,The path a citizen complaint takes to become drafted legislative language.,from problem to bill
fix_laws_propose_a_fix,Propose a fix,3,main,fix_laws,fix_laws/propose_a_fix.mdx,/docs/fix_laws/propose_a_fix/,How a citizen proposes new legislative language or critiques a published draft.,propose a fix
fix_laws_the_coverage_matrix,The coverage matrix,3,main,fix_laws,fix_laws/the_coverage_matrix.mdx,/docs/fix_laws/the_coverage_matrix/,"The grid that shows exactly which root causes a draft closes, and which it does not.",coverage matrix
flamingo_overview,The Flamingo Award,2,main,flamingo,flamingo/overview.mdx,/docs/flamingo/overview/,"Everything outside the voting record, and the only award with a state that means we have not looked yet.",flamingo award
flamingo_not_assessed_is_not_a_verdict,Not assessed is not a verdict,3,main,flamingo,flamingo/not_assessed_is_not_a_verdict.mdx,/docs/flamingo/not_assessed_is_not_a_verdict/,"The gray-brown state, the percent-known companion, and the defamation posture that binds every rendering.",not assessed is not a verdict
flamingo_the_three_states,The three states,3,main,flamingo,flamingo/the_three_states.mdx,/docs/flamingo/the_three_states/,"Earned, not earned, and unknown - what each one is, and why two of them are different facts.",three states
flamingo_what_feeds_it,What feeds it,3,main,flamingo,flamingo/what_feeds_it.mdx,/docs/flamingo/what_feeds_it/,"The material behind a Flamingo, the per-area drill-in, and the path down to a single transcript.",what feeds it
foreign_intelligence_overview,Foreign Intelligence,2,main,foreign_intelligence,foreign_intelligence/overview.mdx,/docs/foreign_intelligence/overview/,"No foreign service gets to be puppet master over American politics — prevent it, and where it already happened, expose it.",foreign intelligence; a foreign service
foreign_intelligence_paid_influence_operations,Paid influence operations,3,main,foreign_intelligence,foreign_intelligence/paid_influence_operations.mdx,/docs/foreign_intelligence/paid_influence_operations/,"The cheapest operation is not a break-in, it is a payroll — and the defence against it is a verified mesh, not censorship.",paid influence operations; paid influencers; propagandists
foreign_intelligence_puppet_master_over_politics,Puppet master over politics,3,main,foreign_intelligence,foreign_intelligence/puppet_master_over_politics.mdx,/docs/foreign_intelligence/puppet_master_over_politics/,"The same test used everywhere on this site, applied to a foreign state: control the inputs and you are a party to the decision.",puppet master over politics
foreign_intelligence_removing_democracy_from_outside,Removing democracy from the outside,3,main,foreign_intelligence,foreign_intelligence/removing_democracy_from_outside.mdx,/docs/foreign_intelligence/removing_democracy_from_outside/,"Narrative control, leverage over officeholders, and access to classified systems — the three routes, none of them exotic.",removing democracy from the outside; narrative control
four_doors_overview,"One App, Four Doors",2,main,four_doors,four_doors/overview.mdx,/docs/four_doors/overview/,"How this non-partisan site relates to the four party doors — one app, one record, five front doors.","one app, four doors; four party doors; the four party front doors"
four_doors_find_your_door,Find your door,3,main,four_doors,four_doors/find_your_door.mdx,/docs/four_doors/find_your_door/,"Three situations, three answers — and none of them require picking a side you do not have.",find your door
four_doors_one_app_four_doors,"One app, four doors",3,main,four_doors,four_doors/one_app_four_doors.mdx,/docs/four_doors/one_app_four_doors/,"Five addresses, one piece of software, one record — and one award pipeline computed party-blind so no door can flatter its own audience.","one app, four doors"
four_doors_what_only_lives_on_a_party_door,What only lives on a party door,3,main,four_doors,four_doors/what_only_lives_on_a_party_door.mdx,/docs/four_doors/what_only_lives_on_a_party_door/,"The `.io` door is narrower on purpose. Here is the actual list of what exists only on the four .com doors, and why each one does.",what only lives on a party door
get_started_overview,Get Started,2,main,get_started,get_started/overview.mdx,/docs/get_started/overview/,"Running We The Citizens: hosted, or local-first on your own computer.",
get_started_first_run,First run,3,main,get_started,get_started/first_run.mdx,/docs/get_started/first_run/,"Mode selection, the data repo gate, and the rule that came out of getting the gate wrong.",
get_started_run_it_on_your_computer,Run it on your computer,3,main,get_started,get_started/run_it_on_your_computer.mdx,/docs/get_started/run_it_on_your_computer/,"The local-first path, the CLI, the MCP server, and why local is the default.",run it on your computer; run it on your own machine; runs on your own computer; local-first
get_started_use_it_hosted,Use it hosted,3,main,get_started,get_started/use_it_hosted.mdx,/docs/get_started/use_it_hosted/,"The two-minute path: no install, read first, sign up only when you want to write.",use it hosted; the hosted copy
good_bills_overview,Fix Bills,2,main,good_bills,good_bills/overview.mdx,/docs/good_bills/overview/,"Language the movement wrote that nobody has filed — real bills, with real sections, waiting for a sponsor.",fix bills; fix bill
good_bills_sponsor_or_critique_one,Sponsor or critique one,3,main,good_bills,good_bills/sponsor_or_critique_one.mdx,/docs/good_bills/sponsor_or_critique_one/,"What to do with a fix bill if you are a legislator, a staffer, or a citizen who thinks it is wrong.",sponsor or critique one
good_bills_the_disclosure_package,The disclosure package,3,main,good_bills,good_bills/the_disclosure_package.mdx,/docs/good_bills/the_disclosure_package/,"Four bills, each enforceable alone, that only close the argument when read together.",disclosure package
good_bills_what_a_fix_bill_is,What a fix bill is,3,main,good_bills,good_bills/what_a_fix_bill_is.mdx,/docs/good_bills/what_a_fix_bill_is/,"The vocabulary: enacted law, filed bill, and language nobody filed are three different things.",what a fix bill is
good_laws_overview,Good Laws,2,main,good_laws,good_laws/overview.mdx,/docs/good_laws/overview/,"Laws and bills that would repair democracy — the ones that passed, the ones voted down, and the ones never allowed a vote at all.",good laws
good_laws_passed_blocked_or_buried,"Passed, blocked, or buried",3,main,good_laws,good_laws/passed_blocked_or_buried.mdx,/docs/good_laws/passed_blocked_or_buried/,Why a bill that never got a vote is the most important record in this library.,"passed, blocked, or buried"
good_laws_the_admission_tests,The admission tests,3,main,good_laws,good_laws/the_admission_tests.mdx,/docs/good_laws/the_admission_tests/,"The eight tests a law has to pass to enter the Good Law List, and why the bar is deliberately high.",admission tests
good_laws_who_blocked_it,Who blocked it,3,main,good_laws,good_laws/who_blocked_it.mdx,/docs/good_laws/who_blocked_it/,"How the movement records that a named person stopped a bill, and the sourcing discipline that governs it.",who blocked it; record of obstruction
how_it_works_overview,How It Works,2,main,how_it_works,how_it_works/overview.mdx,/docs/how_it_works/overview/,"The core loop end to end: record a position, reason it out, decide, and optionally publish the fix.",
how_it_works_a_worked_example,A worked example,3,main,how_it_works,how_it_works/a_worked_example.mdx,/docs/how_it_works/a_worked_example/,"One question, followed from the first click to a published fix.",worked example
how_it_works_individual_vs_community_mode,Individual vs community mode,3,main,how_it_works,how_it_works/individual_vs_community_mode.mdx,/docs/how_it_works/individual_vs_community_mode/,"What changes between running alone and pooling with others, and what stays the same.",individual vs community mode; individual mode; community mode; two modes
how_it_works_the_core_loop,The core loop,3,main,how_it_works,how_it_works/the_core_loop.mdx,/docs/how_it_works/the_core_loop/,"The six steps in detail, and what the app is doing underneath each one.",core loop; the core loop
internal_bad_laws_overview,Bad Laws — Overview,2,main,internal,internal/bad_laws/overview.mdx,/docs/internal/bad-laws/overview/,"A catalog of laws used to identify politicians who voted YES on legislation that harms citizen rights — civil liberties, due process, privacy, and free speech.",bad laws
internal_overview,Internal Research Overview,2,main,internal,internal/overview.mdx,/docs/internal/overview/,Internal research tools and reference pages for We The Citizens organizers.,internal research overview
internal_state_bad_laws_overview,State Bad Laws — Overview,2,main,internal,internal/state_bad_laws/overview.mdx,/docs/internal/state-bad-laws/overview/,"A catalog of state-level laws used to screen state legislators who voted to restrict civil liberties, free speech, assembly, and privacy.",state bad laws
internal_anti_boycott_israel,Anti-Boycott Israel Laws,3,main,internal,internal/anti_boycott_israel.mdx,/docs/internal/anti-boycott-israel/,"State and federal laws that penalize American citizens for participating in BDS — Boycott, Divestment, and Sanctions activity against Israel.",anti-boycott israel laws
internal_bad_laws,Bad Laws,3,main,internal,internal/bad_laws.mdx,/docs/internal/bad-laws/,A list of bad laws used to identify politicians who voted YES on legislation that harms citizen rights.,bad laws
internal_bad_laws_ai_algorithmic_monitoring,Federal AI and Algorithmic Monitoring Programs (2020s–ongoing),3,main,internal,internal/bad_laws/ai_algorithmic_monitoring.mdx,/docs/internal/bad-laws/ai-algorithmic-monitoring/,"Federal agencies are deploying AI and algorithmic tools to monitor citizens, make benefit decisions, screen social media, and assess ""threat levels"" — operating without specific statutory authority, no meaningful accountability, and documented racial and demographic bias.",federal ai and algorithmic monitoring programs (2020s–ongoing)
internal_bad_laws_anti_money_laundering_act,Anti-Money Laundering Act of 2020,3,main,internal,internal/bad_laws/anti_money_laundering_act.mdx,/docs/internal/bad-laws/anti-money-laundering-act/,The Anti-Money Laundering Act of 2020 is the most significant overhaul of Bank Secrecy Act powers since the PATRIOT Act — critics say it expands government financial surveillance and imposes new reporting burdens on small businesses.,anti-money laundering act of 2020
internal_bad_laws_antisemitism_awareness_act,Antisemitism Awareness Act (2024),3,main,internal,internal/bad_laws/antisemitism_awareness_act.mdx,/docs/internal/bad-laws/antisemitism-awareness-act/,The Antisemitism Awareness Act (passed House 2024) adopts the IHRA definition of antisemitism for federal Title VI enforcement on campuses — critics argue it conflates criticism of Israeli government policy with hate speech and chills protected speech.,antisemitism awareness act (2024)
internal_bad_laws_bank_secrecy_act,Bank Secrecy Act and Financial Reporting Expansions (1970–ongoing),3,main,internal,internal/bad_laws/bank_secrecy_act.mdx,/docs/internal/bad-laws/bank-secrecy-act/,The Bank Secrecy Act (1970) requires financial institutions to report large and suspicious transactions to FinCEN — expanded repeatedly; critics say banks now function as warrantless government surveillance agents filing 26 million reports per year with minimal crime prevention results.,bank secrecy act and financial reporting expansions (1970–ongoing)
internal_bad_laws_bipartisan_safer_communities_act,Bipartisan Safer Communities Act,3,main,internal,internal/bad_laws/bipartisan_safer_communities_act.mdx,/docs/internal/bad-laws/bipartisan-safer-communities-act/,The Bipartisan Safer Communities Act (2022) expands gun background checks and incentivizes state red-flag laws that allow firearm removal without a prior hearing.,bipartisan safer communities act
internal_bad_laws_case_act,"CASE Act (Copyright Alternative in Small-Claims Enforcement Act, 2020)",3,main,internal,internal/bad_laws/case_act.mdx,/docs/internal/bad-laws/case-act/,"The CASE Act (2020) created an out-of-court copyright tribunal that can impose fines up to $30,000 — critics say it empowers copyright trolls to extract money from ordinary internet users who share memes, quotes, or photos without realizing they could be liable.","case act (copyright alternative in small-claims enforcement act, 2020)"
internal_bad_laws_cbp_device_searches,CBP Warrantless Electronic Device Searches at the Border,3,main,internal,internal/bad_laws/cbp_device_searches.mdx,/docs/internal/bad-laws/cbp-device-searches/,"US Customs and Border Protection searches phones and laptops at the border without warrants, without suspicion, and without court authorization — searches have quadrupled since 2015 and now exceed 55,000 per year.",cbp warrantless electronic device searches at the border
