level_2_key,title,left_bar_title,primary,nav_order,dir_path,one_liner,scope_in,scope_out,newcomer_question_it_answers,source_file,source_section,primary_sources,level_3_pages,status,table_of_contents_number
rigged_economy,The Rigged Economy,Rigged Economy,true,11,site/docs/rigged_economy/,"Naming the rigged economy out loud, and then proving it with receipts. Who the rigging is for, who pays for it, and how a citizen documents it from the record instead of just feeling it in the grocery bill. Citizens behind every party door already agree the economy is rigged; the work here is turning that agreement into a fix both bases will actually sign — an economy that is ethical and works for the people who do the work.","What rigged means concretely, with named mechanisms rather than a mood; how a citizen base identifies and documents the rigging from the public record; who benefits and who pays; the plan to remove it; why a fix has to be one both sides will sign and what it takes to get there; and what an ethical economy that is ideal for workers looks like when it arrives.","Party-specific economic packages — each party base builds its own on its own .com door, from its own messaging.","Rigged how, and rigged by whom?",marketing/messaging/non_partisan_io_messaging.md,5.0 Removing the rigged economy,~/BGit/act3/data_we_citizens/problems/economy_rigged.yaml; ~/BGit/act3/data_we_citizens/problems/problems.yaml; ~/BGit/act3/data_we_citizens/plan/default_plan.md,overview.mdx; how_the_rigging_works.mdx; document_it_yourself.mdx; the_fix_both_sides_support.mdx,created,5.0
deep_state,Exposing the Deep State,Deep State,true,12,site/docs/deep_state/,"What the deep state, the global elites and the Epstein class have been documented doing — in public, sourced at the door, and never asserted without a record behind it. Where the files are still being withheld, the withholding is itself recorded as a finding, because a gap somebody created on purpose is a fact about the record and not a reason for a citizen to stop talking.","What we mean by the deep state, the global elites and the Epstein class; the acts documented so far and the official record behind each one; the withheld-files pattern (Epstein, JFK, Charlie Kirk) and what the withholding itself establishes; and the sourcing rule that governs every sentence written about a living person.",Any claim about a living person without a source_url to the official record — never published; see evidence and open_data for how a gap is recorded instead.,"What has actually been documented, and where can I read the source myself?",marketing/messaging/non_partisan_io_messaging.md,7.0 Fully Expose Deep State / Global Elites / Epstein Class,~/BGit/act3/data_we_citizens/problems/epstein_files_withheld_from_the_public.yaml; ~/BGit/act3/data_we_citizens/problems/jfk_assassination_records_withheld.yaml; ~/BGit/act3/data_we_citizens/problems/charlie_kirk_files_withheld.yaml; ~/BGit/act3/data_we_citizens/problems/records_withheld_no_basis.yaml,overview.mdx; who_the_deep_state_is.mdx; the_documented_crimes.mdx; the_withheld_files.mdx,created,7.0
us_intelligence,US Intelligence,US Intelligence,true,13,site/docs/us_intelligence/,"US intelligence serves this country and nothing else. It is never a puppet master over American politics, and never the route a foreign power uses to reach American citizens. This area covers the record on the agencies, the whistleblower protection an employee needs to be able to say so in public with specifics, and the rule that citizen data does not get handed to a foreign government.",Preventing US intelligence from removing democracy at home; preventing it from acting as a puppet master over US politics; the capture record on the agencies as it stands in the public record; whistleblower protection strong enough that an employee can name specifics and survive it; and no US citizen data handed to foreign countries.,Foreign services operating on the United States — that is foreign_intelligence.,Are our own agencies running our politics?,marketing/messaging/non_partisan_io_messaging.md,8.0 US Intelligence: Prevent them from being controlled by non-US Citizens,"~/BGit/act3/data_we_citizens/plan/default_plan.md (#intel_and_military, #no_citizen_data_to_foreign_countries, #whistleblower_protection); ~/BGit/act3/data_we_citizens/problems/us_intelligence_controlled_by_a_puppet_master.yaml; ~/BGit/act3/data_we_citizens/problems/fbi_controlled_by_a_puppet_master.yaml",overview.mdx; no_removing_democracy.mdx; no_puppet_master_over_politics.mdx; whistleblowers.mdx,created,8.0
foreign_intelligence,Foreign Intelligence,Foreign Intelligence,true,14,site/docs/foreign_intelligence/,"No foreign service gets to be puppet master over American politics or American citizens. Where it is being attempted, prevent it; where it already happened, expose it from the record. That includes foreign access to classified systems, US defense and research budgets flowing abroad, and paid influencers and propagandists posting as though they were ordinary citizens.","Preventing and exposing foreign intelligence work to remove democracy in the USA; preventing and exposing foreign puppet-mastering of US politics and citizens; foreign access to classified systems; no integration of our military, classified systems or data networks with foreign countries; no US defense and research budgets handed abroad; and paid influencers and propagandists operating as if they were citizens.",Our own agencies — that is us_intelligence. The mechanism that defends the citizen vote against bots and paid influence — that is trust_scores.,Is a foreign government helping pick our leaders?,marketing/messaging/non_partisan_io_messaging.md,9.0 Foreign Intelligence: Prevent them from puppet master over US Citizens,"~/BGit/act3/data_we_citizens/plan/default_plan.md (#no_foreign_system_integration, #no_foreign_defense_budget); ~/BGit/act3/data_we_citizens/problems/foreign_access_to_classified_systems.yaml; ~/BGit/act3/data_we_citizens/problems/us_military_rd_to_israel.yaml",overview.mdx; removing_democracy_from_outside.mdx; puppet_master_over_politics.mdx; paid_influence_operations.mdx,created,9.0
election_integrity,Election Integrity,Election Integrity,true,15,site/docs/election_integrity/,"An election either produces a result that any side can reproduce for itself from the public record, or it does not count. That is a technology problem with a technology answer: open-source voting systems that prevent fraud by design, routine post-election audits, and open gaps published rather than argued away — not a promise from the people running the count.",Open-source voting technology and why prevention beats being asked to trust; the guarantee test — an outside team reproducing the official result from the public record alone; routine post-election audits; gaps recorded publicly rather than explained away; and what a citizen can verify without needing anybody's permission.,Certifying who won any particular election — the movement does not do that and never will.,How do I know the count was real?,marketing/messaging/non_partisan_io_messaging.md,10.0 Election Integrity,"~/BGit/act3/data_we_citizens/plan/default_plan.md (#elections, #open_source_voting_tech, #election_integrity)",overview.mdx; open_source_voting_tech.mdx; reproduce_the_result.mdx; audits_and_open_gaps.mdx,created,10.0
no_forever_wars,"No Forever Wars, No Draft",No Forever Wars,true,16,site/docs/no_forever_wars/,"No needless wars, no forever wars, and no draft. It is one of the few positions the citizen base holds identically behind all four party doors — and forever wars survive every change of party in Washington anyway, which is itself evidence that the decision is not being made by voters.",Why forever wars outlive every change of party; removing the draft and keeping it removed; the record on a draft reinstated against the will of citizens; US defense and research budgets going to other countries; and who profits from a war nobody voted for.,A complete foreign-policy platform — that belongs to a party door's own plan.,Will my kids be drafted into another war nobody chose?,marketing/messaging/non_partisan_io_messaging.md,11.0 No Needless & Forever Wars. No Draft.,"~/BGit/act3/data_we_citizens/plan/default_plan.md (#remove_the_draft, #no_foreign_defense_budget); ~/BGit/act3/data_we_citizens/problems/draft_reinstated_against_citizen_will.yaml; ~/BGit/act3/data_we_citizens/problems/us_military_rd_to_israel.yaml",overview.mdx; the_forever_war_pattern.mdx; remove_the_draft.mdx; who_pays_and_who_profits.mdx,created,11.0
no_social_credit,No Social Credit Score,No Social Credit,true,17,site/docs/no_social_credit/,"China's social credit system already has an American version. It is assembled out of scoring, de-banking, and access shut off with no due process and no appeal, and nobody here calls it a social credit score — which is exactly why it has to be named, mapped, and removed before it finishes being built.","What the American equivalent actually is and where it already operates; why it is not called a social credit score here; scoring, de-banking and access cut off with no due process; vehicle surveillance and remote shutdown as the worked example; and what removing it takes.","Our own karma score — a different thing, and the difference is spelled out here on purpose rather than dodged.",Could that happen here?,marketing/messaging/non_partisan_io_messaging.md,12.0 China Social Credit: Prevent it from being in the USA,"~/BGit/act3/data_we_citizens/plan/default_plan.md (#freedom_from_control, #no_us_social_credit_score); ~/BGit/act3/data_we_citizens/problems/vehicle_surveillance_and_remote_shutdown.yaml; ~/BGit/act3/data_we_citizens/problems/older_vehicles_forced_off_the_road.yaml",overview.mdx; the_american_version.mdx; why_it_is_not_called_that.mdx; how_we_remove_it.mdx,created,12.0
laws,Laws,Laws,false,18,site/docs/laws/,"Four different things get called law here, and this is the map that keeps them apart: the problem laws already on the books, the fix bills the movement drafted that nobody has filed, the good laws that would repair democracy, and the process that turns one into the other. A law is enacted; a bill is only language until somebody files it.","The map of the four libraries — problem laws, fix bills, good laws, and the fixing process; the vocabulary, where a law is enacted and a bill is language nobody filed; and why the movement is so careful to keep them apart.",The contents of any one library — each has its own area of this site.,What is the difference between a law and a bill here?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/laws.mdx; ~/BGit/act3/we_citizens/pm/laws_good.mdx; ~/BGit/act3/data_we_citizens/laws/,overview.mdx; the_four_libraries.mdx; law_vs_bill.mdx; how_a_record_is_sourced.mdx,created,
problem_laws,Problem Laws,Problem Laws,true,19,site/docs/problem_laws/,"The enacted laws the American people did not want, were never asked about, and are governed by anyway. Each carries a badness rating from 1 to 100 that citizens vote on, the root causes it creates, sources at the door, and a frozen key — so a record can be argued with in public but never silently changed underneath the argument.","What makes a law a problem law and who approves the list; the badness rating 1 to 100 and the citizen vote on it; the root causes each law creates; the frozen key and why a record never silently changes; and how any citizen reports one, with sources mandatory at the door.",How a named person voted on them — that is monkey and voting_records.,Which laws are the ones actually doing the damage?,marketing/messaging/non_partisan_io_messaging.md,18.0 Problem Laws,~/BGit/act3/data_we_citizens/laws/problem_laws/; ~/BGit/act3/we_citizens/pm/laws.mdx; ~/BGit/act3/we_citizens/pm/monkey.mdx (the Monkey List),overview.mdx; what_makes_a_law_a_problem.mdx; how_badness_is_rated.mdx; report_a_problem_law.mdx,created,18.0
fix_laws,Fixing the Law,Fixing the Law,false,20,site/docs/fix_laws/,Pillar 2 in practice: how a problem citizens named becomes real legislative language somebody could file tomorrow. Every draft ships with a coverage matrix showing which root causes it closes and which it visibly leaves open — because a bill that quietly leaves the hole open is exactly how a fix gets sold to the public as done.,The path from problem to root causes to drafted sections; the coverage matrix that shows which root causes a draft closes and which it does not; packages of bills that only close the argument together; who writes them; and how a citizen proposes a fix of their own.,The finished drafts themselves — those are good_bills.,How does a complaint turn into actual legislation?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/laws.mdx (Part B); ~/BGit/act3/data_we_citizens/problems/joins/problem_law.yaml; ~/BGit/act3/we_citizens/CLAUDE.md (Pillar 2),overview.mdx; from_problem_to_bill.mdx; the_coverage_matrix.mdx; propose_a_fix.mdx,created,
good_bills,Fix Bills,Fix Bills,true,21,site/docs/good_bills/,"Real legislative language the movement wrote and nobody in Congress has filed — whole bills with numbered sections, published in the open, waiting for a sponsor. A fix bill is not a law and no page here will ever let it be read as one. It exists so a citizen can point at the exact text and ask their representative why it has not been introduced.",The library of drafted fix bills; what each one does section by section; the four-bill Charlie Kirk disclosure package as the worked example; the standing rule that a fix bill is language nobody has filed and no page may imply otherwise; who wrote it; and how a citizen critiques a draft or takes it to a member of Congress.,"Bills somebody actually filed, and laws that actually passed — those are good_laws. The path from a citizen's complaint to drafted language — that is fix_laws.","Do you have actual legislation, or just ideas?",marketing/messaging/non_partisan_io_messaging.md,6.0 Fix Bills / Laws,~/BGit/act3/data_we_citizens/laws/good_bills/; ~/BGit/act3/we_citizens/pm/laws.mdx,overview.mdx; what_a_fix_bill_is.mdx; the_disclosure_package.mdx; sponsor_or_critique_one.mdx,created,6.0
good_laws,Good Laws,Good Laws,false,22,site/docs/good_laws/,"Laws and bills that would repair democracy — the ones that passed, the ones voted down, and the ones never allowed a vote at all. That third category is the one that matters most: who kept a repair from ever reaching the floor is part of the public record, and here it is written down and kept.","The good law list and its admission tests (repeal, restore, transparency, accountability, franchise, due process, speech, purse); the goodness rating and the citizen vote on it; the three fates of a good law — passed, voted down, or never allowed a vote; and how obstruction is recorded when somebody blocks one from advancing.",The award a politician earns for advancing them — that is llama.,"Has anyone actually tried to fix this, and what happened to it?",marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/data_we_citizens/laws/good_laws/; ~/BGit/act3/we_citizens/pm/laws_good.mdx; ~/BGit/act3/we_citizens/pm/llama.mdx (the Good Law List),overview.mdx; the_admission_tests.mdx; passed_blocked_or_buried.mdx; who_blocked_it.mdx,created,
replace_incumbents,Replacing Captured Incumbents,Replace Incumbents,true,23,site/docs/replace_incumbents/,"The strategy in one sentence: elections, and nothing else. A captured incumbent is replaced by getting a party's own base behind the single strongest challenger before the primary, instead of splitting three ways after it. In-party accountability is the cheapest, fastest lever a voter has — the visitor already agrees with the party label and only has to be shown that this particular incumbent is not delivering on it.","Why replacement happens at the ballot box and nowhere else; challengers first, and what that means week to week; using a meritocracy so a base rallies behind ONE best challenger rather than splitting the field; running the same play inside every party; and the seat-by-seat view of who holds the seat now and who could take it.",How a challenger is assessed — that is qualifications and flamingo. The rosters of people themselves — that is new_politicians and legacy_politicians.,How do you actually get a captured incumbent out of office?,marketing/messaging/non_partisan_io_messaging.md,3.0 Replacing (via Elections) incumbents that are controlled by Global Elites / Deep State,~/BGit/act3/data_we_citizens/contenders/slate.yaml; ~/BGit/act3/data_we_citizens/contenders/contender_policy.yaml; ~/BGit/act3/data_we_citizens/challenger_to_position.csv; ~/BGit/act3/data_we_citizens/new_politicians.csv,overview.mdx; challengers_first.mdx; rally_behind_one_challenger.mdx; the_seat_view.mdx,created,3.0
politicians,Politicians,Politicians,false,24,site/docs/politicians/,"Everything the movement publishes about a politician is an award earned or not earned — never a score, never a grade on the person, and the percentage is always of the award rather than of the human being. This area covers that doctrine, the wall that keeps the in-office voting record apart from everything else, the four rosters, and how a politician or their staff corrects a record.","The doctrine that governs every politician page — it is an award, never a score, and not receiving one is not an accusation; the wall between the in-office voting record and everything else; the four rosters and how to find the people who represent you; and how a politician or their staff disputes a record.",Each award and each roster — those are the areas below this one.,Are you just calling people names with extra steps?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/awards.mdx; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/use_cases.mdx (Part 4),overview.mdx; award_not_a_score.mdx; the_wall.mdx; dispute_a_record.mdx,created,
legacy_politicians,Elected Politicians,Elected Politicians,false,25,site/docs/legacy_politicians/,"The people who hold or have held office and left a roll-call record behind them — more than 1,400 of them so far, and the hardest, most checkable evidence this movement has. A recorded vote is a dated act of official power taken in a seat the person was elected to, and it is citable to the Clerk's own record.","What a legacy record contains and where each row came from; the roster and how to find who represents you; the two awards a voting record can earn; the pending, for_vote, voted lifecycle that makes it a record rather than a hit list; and how a politician corrects their own record if they are the subject.",People who have never held office — that is new_politicians.,What has my representative actually done in office?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/data_we_citizens/politicians/legacy/; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/pm/politician_view.mdx,overview.mdx; inside_a_legacy_record.mdx; find_who_represents_you.mdx; correct_your_own_record.mdx,created,
new_politicians,Good New Leaders,New Leaders,false,26,site/docs/new_politicians/,"The people worth electing who have never held office. With no voting record to read, they are assessed on what they have said and publicly committed to, against rubrics published in advance. Anyone may recommend one, including a visitor who never signs in, and every assessment ships beside a percent-known so the number is never read for more than it says.","The roster of good new political leaders; how somebody gets on it, and who may recommend them, which is anyone including a logged-out visitor; what is assessed — interviews, writing, public commitments, background; the percent-known companion that keeps the number honest; and the worrisome-challenger roster, which exists because the same instrument has to be pointed at people we like and people we do not.",Anyone with a voting record — that is legacy_politicians.,"Who should I vote FOR, not just against?",marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/data_we_citizens/politicians/new/; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/pm/worrisome_challengers.mdx,overview.mdx; how_someone_gets_on_the_roster.mdx; what_gets_assessed.mdx; recommend_a_leader.mdx,created,
monkey,The Monkey Award,Monkey Award,false,27,site/docs/monkey/,"One award, 0 to 100, for how much a named politician did to put the democracy-damaging laws in place. Higher is worse. The only input is the voting record — what they voted for, authored, blocked, or let advance — and the arithmetic is published so anyone can reproduce the number with a calculator. A 0 means we assessed and found nothing, not that the person is good.","What the award claims and the Monkey List it is computed over; the twelve categories every recorded act falls into; why blocking a repair weighs as much as thirty ordinary floor votes; the weighted average, with no curve and no grading against a cohort; why a 0 is not a compliment; and reproducing the number yourself.","Anything outside the voting record — by rule that never touches this award, and a build test fails if it tries.",What does a 72% Monkey Award actually mean?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/monkey.mdx; ~/BGit/act3/we_citizens/pm/Math_Monkey.txt; ~/BGit/act3/we_citizens/pm/math_politician_score.mdx,overview.mdx; the_monkey_list.mdx; what_counts_as_an_act.mdx; do_the_math_yourself.mdx,created,
llama,The Llama Award,Llama Award,false,28,site/docs/llama/,The repair side of the voting record: how much a named politician did to repeal harmful law and advance the law that fixes democracy. Higher is better. Same twelve categories and the same equation as the Monkey Award over a different list — and the Llama table is deliberately not the Monkey table turned upside down.,"The Good Law List and its admission tests; the same twelve categories and the same equation over one different table; why the Llama table is not the Monkey table inverted — a vote for a harmful law costs a repair record several times what it gains the damage record; and dominance, which decides the award a politician's card leads with.","Anything outside the voting record — that is flamingo, and the wall keeps them apart.",Does anybody get credit for doing the right thing?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/llama.mdx; ~/BGit/act3/we_citizens/pm/Math_Llama.txt; ~/BGit/act3/data_we_citizens/scores/llama/,overview.mdx; the_good_law_list.mdx; why_not_just_inverted.mdx; which_award_leads.mdx,created,
flamingo,The Flamingo Award,Flamingo Award,false,29,site/docs/flamingo/,"The award for everything outside the voting record — transcripts, interviews, background, resume, education, public commitments, qualification assessments — and the only award with a state that means we have not looked yet. Earned, not earned, and unknown are three different facts, and the last two must never be allowed to collapse into one another.","What the Flamingo covers; the three states and the mark each one carries; why full colour, solid dark red and solid gray-brown mean three different things and why neither blank state ever renders as 0%; the award case; and the per-area drill-in that goes all the way down to a single transcript.","The in-office voting record — that is monkey and llama, and the wall keeps them apart.",How do you judge someone who has never voted on anything?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/flamingo.mdx; ~/BGit/act3/we_citizens/pm/qualifications.mdx,overview.mdx; the_three_states.mdx; what_feeds_it.mdx; not_assessed_is_not_a_verdict.mdx,created,
voting_records,Voting Records,Voting Records,false,30,site/docs/voting_records/,"How the public record of how somebody voted is fetched, read, and turned into an award percentage. Every row is cited to the official record — the House Clerk, the Senate, govinfo, congress.gov, or a state's own site — and never to a news article or a convenience API. An unsourced row is dropped, and the drop is reported rather than quietly swallowed.","Where the voting data comes from and how it is downloaded; what counts as a vote, an authorship, and a block; how a record turns into an award percentage; and the gaps, which are shown rather than hidden.",Assessment of people with no voting record — that is new_politicians and flamingo.,How do you know how they voted?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/voting_records.mdx; ~/BGit/act3/we_citizens/pm/voting_records_download.mdx; ~/BGit/act3/data_we_citizens/provenance/voting_records/,overview.mdx; where_the_data_comes_from.mdx; what_counts_as_a_vote.mdx; blocked_from_a_vote.mdx,created,
